participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.what_happens_with_payoffs,player.age,player.gender,player.degree,player.field_of_study,player.employment,player.familiarity,player.confidence,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
6,b99p4tix,,0,7,22,trust_robot_firstmover_strategy,SendBack,2021-11-29 16:42:56.625311,1,,,0.0,6,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
7,ziu083g7,,0,0,22,,,,0,,,0.0,7,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
8,fph8z4aj,,0,0,22,,,,0,,,0.0,8,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
9,hl42u1aw,,0,0,22,,,,0,,,0.0,9,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
10,jcgjq424,,0,0,22,,,,0,,,0.0,10,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
11,1xi5zlp7,,0,0,22,,,,0,,,0.0,11,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
12,gs0vvk39,,0,0,22,,,,0,,,0.0,12,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
13,xgbnwu8o,,0,0,22,,,,0,,,0.0,13,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
14,kym052p3,,0,0,22,,,,0,,,0.0,14,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
15,6y8r0f92,,0,0,22,,,,0,,,0.0,15,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
16,xf2tpgfl,,0,15,22,ultimatum_robot_proposer_strategy,Results,2021-11-29 16:42:58.047399,1,,,6.0,16,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
17,zwg0y0y3,,0,0,22,,,,0,,,0.0,17,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
18,1y1rfpg3,,0,0,22,,,,0,,,0.0,18,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
19,jx2mcc1g,,0,0,22,,,,0,,,0.0,19,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
20,2ouhu9pq,,0,0,22,,,,0,,,0.0,20,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
1,n9m6od2y,,0,40,41,survey,Survey,2021-12-01 09:17:32.507824,1,,,8.0,1,,0.0,,,,,,,,,1,1,0asoxdxj,,,,,1
2,v8hhmdyi,,0,40,41,survey,Survey,2021-12-01 09:47:11.354339,1,,,2.0,2,,0.0,,,,,,,,,1,1,0asoxdxj,,,,,1
3,fpbo2bu3,,0,41,41,final_screen,EndOfExperiment,2021-12-01 09:18:33.914695,1,,,9.0,3,,0.0,askandfa ladnc,19,male,0,engineer,full,0,1,1,1,0asoxdxj,,,,,1
4,logoupg9,,0,41,41,final_screen,EndOfExperiment,2021-12-01 09:20:52.663266,1,,,10.0,4,,0.0,555,19,male,3,politics,no,0,2,1,1,0asoxdxj,,,,,1
5,8a40tixt,,0,41,41,final_screen,EndOfExperiment,2021-12-01 09:23:56.880178,1,,,7.0,5,,0.0,s,34,male,1,natural,no,4,2,1,1,0asoxdxj,,,,,1
6,7yba6d2m,,0,41,41,final_screen,EndOfExperiment,2021-12-01 09:24:50.243750,1,,,2.0,6,,0.0,3434,31,male,4,law,no,4,0,1,1,0asoxdxj,,,,,1
7,hzfnc8vm,,0,17,41,trust_human_strategy,Results,2021-12-01 09:27:29.998021,1,,,0.0,7,,0.0,,,,,,,,,1,1,0asoxdxj,,,,,1
8,kmbjfnrf,,0,40,41,survey,Survey,2021-12-01 09:27:17.359110,1,,,20.0,8,,0.0,,,,,,,,,1,1,0asoxdxj,,,,,1
9,78d79n7s,,0,40,41,survey,Survey,2021-12-01 09:33:08.875394,1,,,13.0,9,,0.0,,,,,,,,,1,1,0asoxdxj,,,,,1
10,qhga8zd3,,0,40,41,survey,Survey,2021-12-01 09:34:42.108726,1,,,16.0,10,,0.0,,,,,,,,,1,1,0asoxdxj,,,,,1
11,ajz8et33,,0,40,41,survey,Survey,2021-12-01 09:35:46.058794,1,,,13.0,11,,0.0,,,,,,,,,1,1,0asoxdxj,,,,,1
12,u14s1mw8,,0,41,41,final_screen,EndOfExperiment,2021-12-01 09:38:39.634520,1,,,13.0,12,,0.0,qw,23,female,4,law,full,1,1,1,1,0asoxdxj,,,,,1
13,zlwstspy,,0,0,41,,,,0,,,0.0,13,,0.0,,,,,,,,,1,1,0asoxdxj,,,,,1
14,5d9a6dxc,,0,24,41,trust_robot_secondmover,Results,2021-12-01 09:41:04.527973,1,,,19.0,14,,0.0,,,,,,,,,1,1,0asoxdxj,,,,,1
15,q14qzmy5,,0,40,41,survey,Survey,2021-12-01 09:42:34.806012,1,,,18.0,15,,0.0,,,,,,,,,1,1,0asoxdxj,,,,,1
16,vfq2gfgw,,0,41,41,final_screen,EndOfExperiment,2021-12-01 09:43:22.194708,1,,,15.0,16,,0.0,2323,23,female,0,na,part,0,4,1,1,0asoxdxj,,,,,1
17,bnne1in8,,0,40,41,survey,Survey,2021-12-01 09:44:04.238872,1,,,13.0,17,,0.0,,,,,,,,,1,1,0asoxdxj,,,,,1
18,trap3sxs,,0,40,41,survey,Survey,2021-12-01 09:46:03.046215,1,,,11.0,18,,0.0,,,,,,,,,1,1,0asoxdxj,,,,,1
19,r4sdxj5x,,0,31,41,ultimatum_human_strategy,Results,2021-12-01 09:46:33.708450,1,,,2.0,19,,0.0,,,,,,,,,1,1,0asoxdxj,,,,,1
20,hjq1yfn3,,0,31,41,ultimatum_human_strategy,Results,2021-12-01 09:46:44.744868,1,,,10.0,20,,0.0,,,,,,,,,1,1,0asoxdxj,,,,,1
1,elg8tof6,,0,1,1,survey,Survey,2021-12-01 15:54:23.414829,1,,,0.0,1,,0.0,,,,,,,,,1,1,xgegmh4v,,,,,1
1,yx3cyysj,,0,40,41,survey,Survey,2021-12-06 09:53:20.992977,1,,,4.0,1,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
2,c8s98e6f,,0,40,41,survey,Survey,2021-12-06 09:53:23.806039,1,,,6.0,2,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
3,0u50yu2x,,0,40,41,survey,Survey,2021-12-06 09:53:25.632304,1,,,3.0,3,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
4,8iz13usi,,0,40,41,survey,Survey,2021-12-06 09:53:27.177482,1,,,7.0,4,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
5,c867xhjf,,0,40,41,survey,Survey,2021-12-06 09:54:28.576072,1,,,7.0,5,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
6,mnhz4ru1,,0,40,41,survey,Survey,2021-12-06 09:54:29.522105,1,,,2.0,6,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
7,hl235ijh,,0,12,41,trust_human_strategy,Instructions,2021-12-06 09:54:30.532041,1,,,0.0,7,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
8,h2rk0ki5,,0,12,41,trust_human_strategy,Instructions,2021-12-06 09:54:31.590854,1,,,0.0,8,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
9,kfrmyy9i,,0,18,41,trust_robot_firstmover_strategy,Instructions,2021-12-06 09:54:32.933277,1,,,0.0,9,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
10,reaff9xt,,0,18,41,trust_robot_firstmover_strategy,Instructions,2021-12-06 09:54:33.803587,1,,,0.0,10,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
11,rp4vqr7f,,0,18,41,trust_robot_firstmover_strategy,Instructions,2021-12-06 09:54:34.711735,1,,,0.0,11,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
12,hc2qnmvs,,0,18,41,trust_robot_firstmover_strategy,Instructions,2021-12-06 09:54:35.526820,1,,,0.0,12,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
13,rzafid47,,0,18,41,trust_robot_firstmover_strategy,Instructions,2021-12-06 09:54:40.303642,1,,,0.0,13,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
14,y9x63o8u,,0,21,41,trust_robot_secondmover,Instructions,2021-12-06 09:54:41.279090,1,,,0.0,14,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
15,04isstlq,,0,21,41,trust_robot_secondmover,Instructions,2021-12-06 09:54:42.203898,1,,,0.0,15,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
16,id1odd1f,,0,21,41,trust_robot_secondmover,Instructions,2021-12-06 09:54:43.154138,1,,,0.0,16,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
17,dj671621,,0,21,41,trust_robot_secondmover,Instructions,2021-12-06 09:54:44.092743,1,,,0.0,17,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
18,i8sl93w2,,0,21,41,trust_robot_secondmover,Instructions,2021-12-06 09:54:45.180754,1,,,0.0,18,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
19,48tmov3z,,0,26,41,ultimatum_human_strategy,Instructions,2021-12-06 09:54:46.114310,1,,,0.0,19,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
20,zc6vaer2,,0,26,41,ultimatum_human_strategy,Instructions,2021-12-06 09:54:47.125284,1,,,0.0,20,,0.0,,,,,,,,,1,1,66mhoetj,,,,,1
1,1tao2bo8,,0,0,24,,,,0,,,0.0,1,,0.0,,,,,,,,,1,1,9r04duon,,,,,1
2,pij43n3x,,0,0,24,,,,0,,,0.0,2,,0.0,,,,,,,,,1,1,9r04duon,,,,,1
3,n7qqfgkd,,0,0,24,,,,0,,,0.0,3,,0.0,,,,,,,,,1,1,9r04duon,,,,,1
4,e3bbmzrx,,0,0,24,,,,0,,,0.0,4,,0.0,,,,,,,,,1,1,9r04duon,,,,,1
5,gadglw8j,,0,0,24,,,,0,,,0.0,5,,0.0,,,,,,,,,1,1,9r04duon,,,,,1
6,hk53ar8p,,0,0,24,,,,0,,,0.0,6,,0.0,,,,,,,,,1,1,9r04duon,,,,,1
1,xl63279p,,0,22,22,final_screen,EndOfExperiment,2021-12-08 15:32:49.683776,1,,,8.0,1,,0.0,bhnm,20,other,1,law,part,1,1,1,1,rufybnp4,,,,,1
2,boyfr3qf,,0,0,22,,,,0,,,0.0,2,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
3,1vuty71v,,0,0,22,,,,0,,,0.0,3,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
4,f770n4wz,,0,0,22,,,,0,,,0.0,4,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
5,3u0x7hd7,,0,0,22,,,,0,,,0.0,5,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
6,ogt7agoj,,0,0,22,,,,0,,,0.0,6,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
7,ypaj3v50,,0,0,22,,,,0,,,0.0,7,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
8,1ra6o87j,,0,0,22,,,,0,,,0.0,8,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
9,kunstuol,,0,0,22,,,,0,,,0.0,9,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
10,x23b4e2k,,0,0,22,,,,0,,,0.0,10,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
11,ypr92x6l,,0,0,22,,,,0,,,0.0,11,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
12,58jh3d8y,,0,0,22,,,,0,,,0.0,12,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
13,0bhad401,,0,0,22,,,,0,,,0.0,13,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
14,57ei9rsr,,0,0,22,,,,0,,,0.0,14,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
15,o3p0p8bb,,0,0,22,,,,0,,,0.0,15,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
16,irdlens6,,0,0,22,,,,0,,,0.0,16,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
17,7am0unvz,,0,0,22,,,,0,,,0.0,17,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
18,zs1xgrom,,0,0,22,,,,0,,,0.0,18,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
19,xcmxxkdn,,0,0,22,,,,0,,,0.0,19,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
20,xb3yv2sb,,0,0,22,,,,0,,,0.0,20,,0.0,,,,,,,,,1,1,rufybnp4,,,,,1
1,xqwn9x7o,,0,22,22,final_screen,EndOfExperiment,2021-12-08 15:38:19.705306,1,,,9.0,1,,0.0,"jhbklm,",33,male,2,econ,full,1,1,1,1,gg6um2sp,,,,,1
2,k5ne6s36,,0,0,22,,,,0,,,0.0,2,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
3,d26jl8de,,0,0,22,,,,0,,,0.0,3,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
4,jn5z69h4,,0,0,22,,,,0,,,0.0,4,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
5,ugpedxap,,0,0,22,,,,0,,,0.0,5,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
6,llv8ws6z,,0,0,22,,,,0,,,0.0,6,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
7,xi1jysmw,,0,0,22,,,,0,,,0.0,7,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
8,bbq0q64u,,0,0,22,,,,0,,,0.0,8,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
9,vm6oo731,,0,0,22,,,,0,,,0.0,9,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
10,aqljzqj3,,0,0,22,,,,0,,,0.0,10,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
11,b2xdla3n,,0,0,22,,,,0,,,0.0,11,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
12,t4hlxa3d,,0,0,22,,,,0,,,0.0,12,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
13,17p0gspa,,0,0,22,,,,0,,,0.0,13,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
14,p9hb6lr9,,0,0,22,,,,0,,,0.0,14,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
15,i1mvn0to,,0,0,22,,,,0,,,0.0,15,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
16,wtwnuc4r,,0,0,22,,,,0,,,0.0,16,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
17,yjbkc8lc,,0,0,22,,,,0,,,0.0,17,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
18,ll12paje,,0,0,22,,,,0,,,0.0,18,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
19,7rsrmkzc,,0,0,22,,,,0,,,0.0,19,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
20,29sobza0,,0,0,22,,,,0,,,0.0,20,,0.0,,,,,,,,,1,1,gg6um2sp,,,,,1
1,hvfao4jx,610999f68d373b548447abfe,0,3,24,dictator_human,GroupWaitPage,2021-12-08 20:40:00.407087,1,,,0.0,1,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
2,5nj6u26z,,0,0,24,,,,0,,,0.0,2,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
3,zmgx3ua8,,0,0,24,,,,0,,,0.0,3,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
4,1g2eylg5,,0,0,24,,,,0,,,0.0,4,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
5,jz7kstji,,0,0,24,,,,0,,,0.0,5,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
6,ijmxxq8a,,0,0,24,,,,0,,,0.0,6,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
7,j5rd420r,,0,0,24,,,,0,,,0.0,7,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
8,slxi7mvi,,0,0,24,,,,0,,,0.0,8,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
9,p8h7scvc,,0,0,24,,,,0,,,0.0,9,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
10,wovplsbl,,0,0,24,,,,0,,,0.0,10,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
11,gqug1v10,,0,0,24,,,,0,,,0.0,11,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
12,rnrjst6n,,0,0,24,,,,0,,,0.0,12,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
13,yj4t2gck,,0,0,24,,,,0,,,0.0,13,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
14,gx14d26m,,0,0,24,,,,0,,,0.0,14,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
15,cm71cal5,,0,0,24,,,,0,,,0.0,15,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
16,hytzklec,,0,0,24,,,,0,,,0.0,16,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
17,5hzh2ijp,,0,0,24,,,,0,,,0.0,17,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
18,qhk6hm6v,,0,0,24,,,,0,,,0.0,18,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
19,k64pa9ya,,0,0,24,,,,0,,,0.0,19,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
20,axdjzyzw,,0,0,24,,,,0,,,0.0,20,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
21,958t2qv5,,0,0,24,,,,0,,,0.0,21,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
22,c3ko0tlc,,0,0,24,,,,0,,,0.0,22,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
23,g1o2hum4,,0,0,24,,,,0,,,0.0,23,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
24,g6wfhgii,,0,0,24,,,,0,,,0.0,24,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
25,3d8cb8k2,,0,0,24,,,,0,,,0.0,25,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
26,muhb0wfs,,0,0,24,,,,0,,,0.0,26,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
27,0y3zt756,,0,0,24,,,,0,,,0.0,27,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
28,t1zi2dk9,,0,0,24,,,,0,,,0.0,28,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
29,fr4b5u7g,,0,0,24,,,,0,,,0.0,29,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
30,7y9oaq0r,,0,0,24,,,,0,,,0.0,30,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
31,7iv06ycp,,0,0,24,,,,0,,,0.0,31,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
32,7ovg846q,,0,0,24,,,,0,,,0.0,32,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
33,ffsfzrkv,,0,0,24,,,,0,,,0.0,33,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
34,11mvmc4t,,0,0,24,,,,0,,,0.0,34,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
35,1h6zjy1c,,0,0,24,,,,0,,,0.0,35,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
36,1vrd9ggt,,0,0,24,,,,0,,,0.0,36,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
37,29haogpj,,0,0,24,,,,0,,,0.0,37,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
38,ccuvghw6,,0,0,24,,,,0,,,0.0,38,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
39,e961k6w1,,0,0,24,,,,0,,,0.0,39,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
40,xlq3ybfq,,0,0,24,,,,0,,,0.0,40,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
41,rnl7rcvv,,0,0,24,,,,0,,,0.0,41,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
42,01tmwpzf,,0,0,24,,,,0,,,0.0,42,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
43,8kxwww2f,,0,0,24,,,,0,,,0.0,43,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
44,7g8jn223,,0,0,24,,,,0,,,0.0,44,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
45,idfo8il1,,0,0,24,,,,0,,,0.0,45,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
46,0sde3c5r,,0,0,24,,,,0,,,0.0,46,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
47,1qsv4tt7,,0,0,24,,,,0,,,0.0,47,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
48,do4wmgpu,,0,0,24,,,,0,,,0.0,48,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
49,pkjklvhc,,0,0,24,,,,0,,,0.0,49,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
50,ep5lxj9g,,0,0,24,,,,0,,,0.0,50,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
51,oraa8qhu,,0,0,24,,,,0,,,0.0,51,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
52,1k7co5xr,,0,0,24,,,,0,,,0.0,52,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
53,qzwzxop4,,0,0,24,,,,0,,,0.0,53,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
54,s0yn0fca,,0,0,24,,,,0,,,0.0,54,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
55,rg1qcypb,,0,0,24,,,,0,,,0.0,55,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
56,pnyhhsir,,0,0,24,,,,0,,,0.0,56,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
57,9efkyxh5,,0,0,24,,,,0,,,0.0,57,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
58,yo1imq4i,,0,0,24,,,,0,,,0.0,58,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
59,kum8hh76,,0,0,24,,,,0,,,0.0,59,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
60,vx8fu8i8,,0,0,24,,,,0,,,0.0,60,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
61,oz5kv8o9,,0,0,24,,,,0,,,0.0,61,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
62,4ht2socs,,0,0,24,,,,0,,,0.0,62,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
63,38cjcvrp,,0,0,24,,,,0,,,0.0,63,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
64,42f2wjxo,,0,0,24,,,,0,,,0.0,64,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
65,054t5y0b,,0,0,24,,,,0,,,0.0,65,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
66,6f0jpcaq,,0,0,24,,,,0,,,0.0,66,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
67,v48lf3ku,,0,0,24,,,,0,,,0.0,67,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
68,lnku297i,,0,0,24,,,,0,,,0.0,68,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
69,rdv7ysb7,,0,0,24,,,,0,,,0.0,69,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
70,mlo4uma2,,0,0,24,,,,0,,,0.0,70,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
71,zuwh5imt,,0,0,24,,,,0,,,0.0,71,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
72,q4po5kyd,,0,0,24,,,,0,,,0.0,72,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
73,eq58sb3t,,0,0,24,,,,0,,,0.0,73,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
74,9cza92tb,,0,0,24,,,,0,,,0.0,74,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
75,6z24y06q,,0,0,24,,,,0,,,0.0,75,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
76,cm7bnhlf,,0,0,24,,,,0,,,0.0,76,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
77,xivny6k5,,0,0,24,,,,0,,,0.0,77,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
78,i1198u2t,,0,0,24,,,,0,,,0.0,78,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
79,2efoob9k,,0,0,24,,,,0,,,0.0,79,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
80,mh2o6u5y,,0,0,24,,,,0,,,0.0,80,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
81,cmjjt4jh,,0,0,24,,,,0,,,0.0,81,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
82,83s8z3u8,,0,0,24,,,,0,,,0.0,82,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
83,xrsk1vln,,0,0,24,,,,0,,,0.0,83,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
84,04ydus38,,0,0,24,,,,0,,,0.0,84,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
85,yb9tlgj3,,0,0,24,,,,0,,,0.0,85,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
86,shdh6ttg,,0,0,24,,,,0,,,0.0,86,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
87,4w8o147j,,0,0,24,,,,0,,,0.0,87,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
88,p232za0k,,0,0,24,,,,0,,,0.0,88,,0.0,,,,,,,,,1,1,owjl0xho,,,,,0
