participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.treatment,player.sent_amount,player.send_back_belief,player.sent_back_amount,player.rmse,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
6,mnhz4ru1,,0,40,41,survey,Survey,2021-12-06 09:54:29.522105,1,,,2.0,6,,0.0,,,,,,1,1,66mhoetj,,,,,1
7,hl235ijh,,0,12,41,trust_human_strategy,Instructions,2021-12-06 09:54:30.532041,1,,,0.0,7,,0.0,,,,,,1,1,66mhoetj,,,,,1
8,h2rk0ki5,,0,12,41,trust_human_strategy,Instructions,2021-12-06 09:54:31.590854,1,,,0.0,8,,0.0,,,,,,1,1,66mhoetj,,,,,1
9,kfrmyy9i,,0,18,41,trust_robot_firstmover_strategy,Instructions,2021-12-06 09:54:32.933277,1,,,0.0,9,,0.0,,,,,,1,1,66mhoetj,,,,,1
10,reaff9xt,,0,18,41,trust_robot_firstmover_strategy,Instructions,2021-12-06 09:54:33.803587,1,,,0.0,10,,0.0,,,,,,1,1,66mhoetj,,,,,1
11,rp4vqr7f,,0,18,41,trust_robot_firstmover_strategy,Instructions,2021-12-06 09:54:34.711735,1,,,0.0,11,,0.0,,,,,,1,1,66mhoetj,,,,,1
12,hc2qnmvs,,0,18,41,trust_robot_firstmover_strategy,Instructions,2021-12-06 09:54:35.526820,1,,,0.0,12,,0.0,,,,,,1,1,66mhoetj,,,,,1
13,rzafid47,,0,18,41,trust_robot_firstmover_strategy,Instructions,2021-12-06 09:54:40.303642,1,,,0.0,13,,0.0,,,,,,1,1,66mhoetj,,,,,1
14,y9x63o8u,,0,21,41,trust_robot_secondmover,Instructions,2021-12-06 09:54:41.279090,1,,,0.0,14,,0.0,machine earns,,,,,1,1,66mhoetj,,,,,1
15,04isstlq,,0,21,41,trust_robot_secondmover,Instructions,2021-12-06 09:54:42.203898,1,,,0.0,15,,0.0,burned,,,,,1,1,66mhoetj,,,,,1
16,id1odd1f,,0,21,41,trust_robot_secondmover,Instructions,2021-12-06 09:54:43.154138,1,,,0.0,16,,0.0,no info,,,,,1,1,66mhoetj,,,,,1
17,dj671621,,0,21,41,trust_robot_secondmover,Instructions,2021-12-06 09:54:44.092743,1,,,0.0,17,,0.0,token,,,,,1,1,66mhoetj,,,,,1
18,i8sl93w2,,0,21,41,trust_robot_secondmover,Instructions,2021-12-06 09:54:45.180754,1,,,0.0,18,,0.0,programmer,,,,,1,1,66mhoetj,,,,,1
19,48tmov3z,,0,26,41,ultimatum_human_strategy,Instructions,2021-12-06 09:54:46.114310,1,,,0.0,19,,0.0,,,,,,1,1,66mhoetj,,,,,1
20,zc6vaer2,,0,26,41,ultimatum_human_strategy,Instructions,2021-12-06 09:54:47.125284,1,,,0.0,20,,0.0,,,,,,1,1,66mhoetj,,,,,1
1,xl63279p,,0,22,22,final_screen,EndOfExperiment,2021-12-08 15:32:49.683776,1,,,8.0,1,,0.0,,,,,,1,1,rufybnp4,,,,,1
2,boyfr3qf,,0,0,22,,,,0,,,0.0,2,,0.0,,,,,,1,1,rufybnp4,,,,,1
3,1vuty71v,,0,0,22,,,,0,,,0.0,3,,0.0,,,,,,1,1,rufybnp4,,,,,1
4,f770n4wz,,0,0,22,,,,0,,,0.0,4,,0.0,,,,,,1,1,rufybnp4,,,,,1
5,3u0x7hd7,,0,0,22,,,,0,,,0.0,5,,0.0,,,,,,1,1,rufybnp4,,,,,1
6,ogt7agoj,,0,0,22,,,,0,,,0.0,6,,0.0,,,,,,1,1,rufybnp4,,,,,1
7,ypaj3v50,,0,0,22,,,,0,,,0.0,7,,0.0,,,,,,1,1,rufybnp4,,,,,1
8,1ra6o87j,,0,0,22,,,,0,,,0.0,8,,0.0,,,,,,1,1,rufybnp4,,,,,1
9,kunstuol,,0,0,22,,,,0,,,0.0,9,,0.0,,,,,,1,1,rufybnp4,,,,,1
10,x23b4e2k,,0,0,22,,,,0,,,0.0,10,,0.0,machine earns,,,,,1,1,rufybnp4,,,,,1
11,ypr92x6l,,0,0,22,,,,0,,,0.0,11,,0.0,burned,,,,,1,1,rufybnp4,,,,,1
12,58jh3d8y,,0,0,22,,,,0,,,0.0,12,,0.0,no info,,,,,1,1,rufybnp4,,,,,1
13,0bhad401,,0,0,22,,,,0,,,0.0,13,,0.0,token,,,,,1,1,rufybnp4,,,,,1
14,57ei9rsr,,0,0,22,,,,0,,,0.0,14,,0.0,programmer,,,,,1,1,rufybnp4,,,,,1
15,o3p0p8bb,,0,0,22,,,,0,,,0.0,15,,0.0,,,,,,1,1,rufybnp4,,,,,1
16,irdlens6,,0,0,22,,,,0,,,0.0,16,,0.0,,,,,,1,1,rufybnp4,,,,,1
17,7am0unvz,,0,0,22,,,,0,,,0.0,17,,0.0,,,,,,1,1,rufybnp4,,,,,1
18,zs1xgrom,,0,0,22,,,,0,,,0.0,18,,0.0,,,,,,1,1,rufybnp4,,,,,1
19,xcmxxkdn,,0,0,22,,,,0,,,0.0,19,,0.0,,,,,,1,1,rufybnp4,,,,,1
20,xb3yv2sb,,0,0,22,,,,0,,,0.0,20,,0.0,,,,,,1,1,rufybnp4,,,,,1
1,xqwn9x7o,,0,22,22,final_screen,EndOfExperiment,2021-12-08 15:38:19.705306,1,,,9.0,1,,0.0,,,,,,1,1,gg6um2sp,,,,,1
2,k5ne6s36,,0,0,22,,,,0,,,0.0,2,,0.0,,,,,,1,1,gg6um2sp,,,,,1
3,d26jl8de,,0,0,22,,,,0,,,0.0,3,,0.0,,,,,,1,1,gg6um2sp,,,,,1
4,jn5z69h4,,0,0,22,,,,0,,,0.0,4,,0.0,,,,,,1,1,gg6um2sp,,,,,1
5,ugpedxap,,0,0,22,,,,0,,,0.0,5,,0.0,,,,,,1,1,gg6um2sp,,,,,1
6,llv8ws6z,,0,0,22,,,,0,,,0.0,6,,0.0,,,,,,1,1,gg6um2sp,,,,,1
7,xi1jysmw,,0,0,22,,,,0,,,0.0,7,,0.0,,,,,,1,1,gg6um2sp,,,,,1
8,bbq0q64u,,0,0,22,,,,0,,,0.0,8,,0.0,,,,,,1,1,gg6um2sp,,,,,1
9,vm6oo731,,0,0,22,,,,0,,,0.0,9,,0.0,,,,,,1,1,gg6um2sp,,,,,1
10,aqljzqj3,,0,0,22,,,,0,,,0.0,10,,0.0,machine earns,,,,,1,1,gg6um2sp,,,,,1
11,b2xdla3n,,0,0,22,,,,0,,,0.0,11,,0.0,burned,,,,,1,1,gg6um2sp,,,,,1
12,t4hlxa3d,,0,0,22,,,,0,,,0.0,12,,0.0,no info,,,,,1,1,gg6um2sp,,,,,1
13,17p0gspa,,0,0,22,,,,0,,,0.0,13,,0.0,token,,,,,1,1,gg6um2sp,,,,,1
14,p9hb6lr9,,0,0,22,,,,0,,,0.0,14,,0.0,programmer,,,,,1,1,gg6um2sp,,,,,1
15,i1mvn0to,,0,0,22,,,,0,,,0.0,15,,0.0,,,,,,1,1,gg6um2sp,,,,,1
16,wtwnuc4r,,0,0,22,,,,0,,,0.0,16,,0.0,,,,,,1,1,gg6um2sp,,,,,1
17,yjbkc8lc,,0,0,22,,,,0,,,0.0,17,,0.0,,,,,,1,1,gg6um2sp,,,,,1
18,ll12paje,,0,0,22,,,,0,,,0.0,18,,0.0,,,,,,1,1,gg6um2sp,,,,,1
19,7rsrmkzc,,0,0,22,,,,0,,,0.0,19,,0.0,,,,,,1,1,gg6um2sp,,,,,1
20,29sobza0,,0,0,22,,,,0,,,0.0,20,,0.0,,,,,,1,1,gg6um2sp,,,,,1
